id,role,age,grade,follow_local,follow_federal,influence_local,influence_federal,align_parents,support_local_16,support_federal_16,explanation,likelihood_vote,informed_local,informed_federal,mayor_knowledge_text,news_sources,subject,years_in_ed,civic_skills_text,reasoning_text,mayor_knowledge_score,reasoning_depth_score,faculty_reasoning_score,civic_skills_score,engagement_index,civic_literacy_index,mayor_knowledge_band,news_diversity,support_pattern
18,Faculty,,,4.0,4.0,,,,No,No,"I think presuming the equivalent of a public education prior to voting is a reasonable prerequisite, although I concede that the age requirement only gets at that indirectly.",,3.0,3.0,,"Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",Language,11–20,"Knowledge of how the government is structured and functions, as well as the skill of evaluating claims based on evidence. People need to have the ability to think critically about what politicians say and propose.","Some are informed, some are not. The same is true of people 18+, however.",0.0,3.72,3.16,8.17,,,None (0),3,Neither
19,Student,15.0,9.0,5.0,5.0,1.0,1.0,3.0,Yes,Yes,I believe that high school students have the formed frontal lobe enough to vote.,5.0,5.0,5.0,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.0,1.16,,0.0,100.0,29.1,None (0),3,Both
20,Student,17.0,11.0,1.0,1.0,1.0,1.0,5.0,Unsure,No,"I feel like it's based on me, not by the system. I personally don't follow current events or politics that closely, so I don't feel like I'm educated enough to have my own opinion.",1.0,3.0,2.0,no idea lmao,"Social media (TikTok, Instagram, X), Family or friends, School",,,,,0.0,1.52,,0.0,0.0,5.3,None (0),3,Mixed/Unsure
21,Faculty,,,4.0,5.0,,,,Yes,Yes,There is far more access to information today than in the past. ,,4.0,4.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",Fundraising,6–10,empathy,,0.0,0.48,0.0,1.43,,,None (0),2,Both
22,Faculty,,,3.0,4.0,,,,Yes,Unsure,"I trust the local scene to handle this change appropriately; I worry about what could happen to students in other parts of the country -- would they feel safe dissenting, disagreeing with their parents, etc.?",,4.0,4.0,,"Traditional news (NYT, WSJ, SF Chronicle)",Admin,20+,,"It depends on the student, of course!",0.0,3.56,1.28,0.0,,,None (0),1,Local only
23,Student,17.0,11.0,3.0,3.0,1.0,2.0,3.0,Unsure,Unsure,I dont think ppl that young are educated enough to vote but at the same time more educated than a lot of other adults in america,4.0,3.0,2.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,3.04,,0.0,58.3,23.1,None (0),4,Mixed/Unsure
24,Student,16.0,10.0,2.0,3.0,1.0,1.0,5.0,Unsure,Unsure, ,4.0,4.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,0.0,0.0,,0.0,50.0,9.4,None (0),4,Mixed/Unsure
25,Student,15.0,9.0,3.0,5.0,1.0,1.0,3.0,Yes,Yes,I think that they know what they want,5.0,5.0,3.0,Daniel Lurie. Trying to revive SF economy as it was damaged by a post-covid image.,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,3.5,0.32,,0.0,83.3,33.9,Medium (3-5.9),2,Both
26,Student,15.0,9.0,4.0,5.0,1.0,1.0,2.0,Yes,Yes,"I think teenagers are already very aware of who they are and what they want. Especially since so many things we vote on directly influence students/teenagers. I think people have a pretty good understanding of whats happening around them and how they feel about that from an early age. Even if they aren't 100% informed, they still know on a general level what they want and can use that to determine who they want to vote for or how they want to vote.",5.0,4.0,5.0,He wants to make the city cleaner and safer and I think he's been doing a pretty good job at that. He wants to connect to the people of the city and I think he's doing well at that as well. I think he also wants to make housing more affordable and get our homelessness crisis down. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School, Other",,,,,3.5,4.6,,0.0,91.7,52.0,Medium (3-5.9),5,Both
27,Student,16.0,10.0,4.0,4.0,1.0,1.0,4.0,Yes,Unsure,"I think that children should be able to decide on local voting issues because it impacts them on a day to day basis.

I am more reluctant towards the federal issues because there is a lot of misinformation that goes around, especially on social media, regarding voter issues.",5.0,4.0,2.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,3.72,,0.0,83.3,31.8,None (0),3,Local only
